Stn Number,Latitude,Longitude,Elevation,First Year,Last Year,Number of Years,Stn Name
092079,-42.2133,147.7831,468.5,1957,1976,20,TOOMS LAKE (TOOMS RIVER)
092085,-42.0097,147.7933,580,1971,1989,19,LAKE LEAKE (CHALET)
092099,-42.7153,147.7525,318,1997,2012,16,NUGENT (TWILIGHT VALLEY)
093053,-42.025,147.4953,186,1996,2011,16,ROSS (THE BOULEVARDS)
094008,-42.8339,147.5033,4,1960,2011,52,HOBART AIRPORT
094025,-42.8494,147.2547,93,1998,2011,14,GLENORCHY (GLENORCHY RESERVOIR)
094029,-42.8897,147.3278,50.5,1911,2011,101,HOBART (ELLERSLIE ROAD)
094066,-42.9156,147.2464,720,1998,2010,13,MOUNT WELLINGTON (THE SPRINGS)
094069,-42.983,147.0771,63,1961,2010,50,GROVE (COMPARISON)
094137,-43.1639,146.9172,55,1979,2011,33,GEEVESTON (CEMETERY ROAD)
094157,-43.1639,147.8333,191.5,1999,2010,12,PORT ARTHUR (PALMERS LOOKOUT)
094163,-43.0156,147.3275,36,1998,2011,14,BLACKMANS BAY TREATMENT PLANT
094204,-42.6525,147.3578,335,1997,2007,11,TEA TREE POINT
095018,-42.3003,146.4486,585,1964,2011,48,TARRALEAH VILLAGE
095048,-42.4842,146.7106,90,1996,2012,17,OUSE FIRE STATION
096014,-42.2539,146.62,665,1963,1993,31,LAKE ECHO POWER STATION
096015,-42.1,146.2167,735,1954,1989,36,LAKE ST CLAIR (HEC)
096044,-42.1025,146.7544,910,1963,1990,28,PENSTOCK LAGOON (PIPELINE)
097006,-41.9933,145.5725,665,1996,2012,17,LAKE MARGARET DAM
097008,-42.0661,145.5681,191,1963,2003,41,QUEENSTOWN (COPPER MINE)
097047,-41.4892,145.2083,352,1966,1989,24,SAVAGE RIVER MINE
097053,-42.7681,146.0461,322,1996,2011,16,STRATHGORDON VILLAGE
098000,-40.0092,144.1111,18,1997,2012,16,CITY OF MELBOURNE BAY
099014,-40.0194,148.1825,12,1997,2011,15,MEMANA (BABEL FARM)
200283,-16.2878,149.9652,8.1,1958,2011,54,WILLIS ISLAND
200284,-12.1892,96.8344,3,1971,2011,41,COCOS ISLAND AIRPORT
200440,-31.55,159.0833,46,1946,1988,43,LORD HOWE ISLAND
200790,-10.4528,105.6875,261,1972,2011,40,CHRISTMAS ISLAND AERO
200839,-31.5421,159.0786,5,1988,2011,24,LORD HOWE ISLAND AERO
