Stn Number,Latitude,Longitude,Elevation,First Year,Last Year,Number of Years,Stn Name
015557,-24.3996,132.4524,518,1997,2011,15,TEMPE DOWNS
015564,-23.8757,133.4704,598,1998,2012,15,OWEN SPRINGS
015577,-22.4515,134.8189,503,1996,2010,15,DELMORE DOWNS
015579,-24.0137,135.4268,343,1996,2011,16,NUMERY
015590,-23.7951,133.889,546,1951,2011,61,ALICE SPRINGS AIRPORT
015594,-23.4564,134.6849,661,2000,2012,13,ARLTUNGA
015602,-22.9494,136.1442,328,1968,2012,45,JERVOIS
015603,-25.8428,133.3027,508.6,1996,2011,16,KULGERA
015604,-22.441,136.2916,311.1,1996,2009,14,LUCY CREEK
015605,-25.5607,134.071,330,1996,2010,15,LILLA CREEK
015618,-22.2741,137.973,168.4,1996,2009,14,TOBERMOREY
015633,-24.0636,132.7444,520,1998,2012,15,PALM VALLEY
015643,-22.4518,133.6377,565.6,1996,2011,16,TERRITORY GRAPE FARM
015652,-24.2914,131.5488,614,1996,2011,16,WATARRKA
015660,-25.3602,131.0196,530,1997,2009,13,ULURU RANGERS
015666,-20.1824,130.0148,340,1996,2012,17,RABBIT FLAT
016001,-31.1558,136.8054,166.6,1955,2010,56,WOOMERA AERODROME
016032,-32.5226,136.4926,200,1973,2012,40,NONNING
016085,-27.3002,133.6201,323,1985,2011,27,MARLA POLICE STATION
016090,-29.0347,134.7222,225,2000,2011,12,COOBER PEDY AIRPORT
016096,-30.4829,136.8772,98.5,2000,2011,12,ROXBY DOWNS (OLYMPIC DAM AERODROME)
016097,-26.2635,132.1771,703.2,2001,2010,10,ERNABELLA (PUKATJA)
016098,-30.7051,134.5786,123,2000,2010,11,TARCOOLA AERO
017043,-27.5553,135.4456,116.5,1961,2010,50,OODNADATTA AIRPORT
017070,-26.0702,135.2471,150,2000,2012,13,MOUNT DARE
017096,-28.1125,140.2102,39,1972,2000,29,MOOMBA
017107,-30.5925,138.4053,250,1972,1988,17,LEIGH CREEK SOUTH
017123,-28.0997,140.1956,37.8,2000,2011,12,MOOMBA AIRPORT
017126,-29.6587,138.0684,50,2000,2010,11,MARREE AERO
018012,-32.1297,133.6976,15.3,1954,2011,58,CEDUNA AMO
018052,-32.8361,135.15,168,1973,1997,25,MINNIPA AGRICULTURAL CENTRE
