Stn Number,Latitude,Longitude,Elevation (m AHD),First Year,Last Year,Number of Years,Stn Name
006017,-25.2786,115.8633,300,1900,2011,112,DAIRY CREEK
006019,-24.8061,114.4322,70,1897,2011,115,DOORAWARRAH
006020,-25.36,114.2292,30,1915,2012,98,EDAGGEE
006021,-24.4508,115.6072,400,1928,2010,83,EUDAMULLAH
006022,-25.0544,115.21,144,1907,2012,106,GASCOYNE JUNCTION
006023,-23.8222,113.5256,20,1912,2012,101,GNARALOO
006025,-26.3994,114.1658,15,1885,2011,127,HAMELIN POOL
006026,-26.4275,114.1919,25,1924,2012,89,HAMELIN STATION
006027,-25.0442,115.1331,180,1888,2011,124,JIMBA JIMBA
006029,-23.6361,115.2461,210,1898,2011,114,LYNDON
006030,-24.6314,115.3383,175,1906,2012,107,LYONS RIVER
006031,-23.915,115.6183,300,1906,1976,71,MANGAROON
006032,-24.4733,114.5553,90,1918,2010,93,MARDATHUNA
006033,-23.4792,115.5478,250,1896,2011,116,MAROONAH
006034,-25.3656,114.3594,40,1911,2012,102,MARRON
006035,-26.7025,114.6183,180,1932,1982,51,MEADOW STATION
006036,-25.6631,114.6261,60,1899,2011,113,MEEDO
006038,-23.3817,114.4375,75,1903,2012,110,MIA MIA
006039,-23.8497,113.9714,3,1901,2011,111,MINILYA
006040,-24.0306,115.6967,300,1900,2012,113,MINNIE CREEK
006041,-24.0633,115.205,300,1920,1974,55,MOOGOOREE
006043,-27.37,115.6517,300,1900,1987,88,NEW FOREST
006044,-25.9261,113.5319,9,1893,2012,120,DENHAM
006045,-26.6969,113.7158,50,1900,2012,113,TAMALA
006046,-23.1747,115.1194,120,1892,2000,109,TOWERA
006047,-25.405,115.2267,200,1914,1993,80,TOWRANA
006048,-27.3853,115.9664,260,1903,2010,108,TWIN PEAKS
006050,-23.7647,114.5539,90,1890,2010,121,WANDAGEE
006051,-27.9864,115.6306,300,1945,2007,63,WANDINA
006052,-23.8608,115.1475,190,1888,2011,124,WILLIAMBURY
006053,-25.3017,115.1161,170,1909,2011,103,WINDERIE
006054,-26.0511,114.7542,180,1917,2011,95,WOODLEIGH
006055,-27.7456,115.8286,300,1904,2011,108,WOOLGORONG
006056,-25.74,114.2847,16,1898,2009,112,WOORAMEL
006057,-25.1833,114.6767,90,1909,1972,64,YALBALGO
006058,-27.4278,115.5147,240,1904,2012,109,YALLALONG
006059,-25.9436,114.3222,13,1923,2012,90,YARINGA STATION
006060,-26.2011,114.2869,30,1913,2011,99,CARBLA STATION
006062,-24.9,113.65,4.6,1883,1950,68,CARNARVON POST OFFICE
006066,-23.1567,114.5403,75,1898,2012,115,WINNING
006068,-25.4906,114.3981,40,1953,2011,59,WAHROONGA
006069,-26.5903,115.9267,300,1900,2011,112,MOUNT NARRYER
006070,-24.3058,114.5003,60,1949,2011,63,HILL SPRINGS
006071,-26.6167,115.5467,280,1932,2012,81,MUGGON
006072,-23.0314,115.0414,111,1898,2012,115,EMU CREEK STATION
006079,-25.0881,114.3836,60,1907,2005,99,ELLA VALLA
006084,-23.4853,113.7811,20,1909,2012,104,WARROORA
006090,-26.96,115.9733,300,1920,1993,74,MEEBERRIE
006095,-24.3967,113.4056,16,1952,2011,60,QUOBBA
006103,-23.9064,114.7681,100,1911,2010,100,MIDDALYA
007000,-28.6294,116.2814,340,1902,2012,111,BARNONG
007001,-26.9683,117.9031,478,1910,2012,103,BEEBYN
007002,-26.3611,118.0283,500,1899,2006,108,BELELE
007003,-26.0417,116.9528,450,1883,2011,129,BERINGARRA
007005,-28.3,117.9,,1910,1949,40,BOODANOO
007006,-28.0411,117.6703,450,1910,2011,102,BOOGARDIE
007007,-26.9844,116.5361,300,1891,2012,122,BOOLARDY
007008,-25.5067,118.7933,550,1919,1990,72,BRYAH
007009,-27.4833,117.3,,1911,1974,64,BULLARA
007010,-28.6097,116.5714,300,1912,2006,95,BUNNAWARRA
007011,-28.7839,117.3625,400,1902,2012,111,BURNERBINMAH
007012,-26.1297,118.4853,500,1918,1997,80,BUTTAH
007013,-27.25,118.3333,,1912,1947,36,COGLA DOWNS NATTE
007014,-27.2528,117.6525,500,1898,2011,114,COODARDY
007016,-29.3667,117.7,,1905,1961,57,COODINGNOW
007017,-27.4233,117.8994,453,1894,2012,119,CUE
007018,-27.0392,118.365,450,1916,1984,69,CULLCULLI
007019,-24.0019,119.5725,600,1917,2012,96,BULLOO DOWNS
007020,-26.8764,118.1731,400,1887,2008,122,ANNEAN
007021,-27.3839,117.7453,450,1907,2004,98,AUSTIN DOWNS
007022,-27.4667,117.85,,1896,1955,60,DAY DAWN
007023,-25.6864,119.2258,600,1929,2012,84,DOOLGUNNA
007024,-28.2731,117.1544,350,1937,2011,75,EDAH
007025,-23.9214,116.5594,450,1929,2002,74,WANNA
007026,-26.45,118.2,,1920,1973,54,FOUR CORNERS
007027,-28.2494,116.34,340,1888,2012,125,GABYON
